TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-11-28,2025-11-28,FO,NSE,IDO,60094,,BANKNIFTY,,2026-02-24,2026-02-24,58800.00,CE,BANKNIFTY26FEB58800CE,0.00,0.00,0.00,2394.75,0.00,2394.75,59752.70,2615.80,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60210,,BANKNIFTY,,2026-02-24,2026-02-24,59100.00,CE,BANKNIFTY26FEB59100CE,0.00,0.00,0.00,2233.20,0.00,2233.20,59752.70,2424.85,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60212,,BANKNIFTY,,2026-02-24,2026-02-24,59200.00,CE,BANKNIFTY26FEB59200CE,0.00,0.00,0.00,2181.00,0.00,2181.00,59752.70,2363.05,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60253,,BANKNIFTY,,2026-02-24,2026-02-24,60500.00,CE,BANKNIFTY26FEB60500CE,1459.50,1542.80,1447.95,1502.95,1481.50,1378.30,59752.70,1502.95,1080,780,34,63234948.00,17,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60420,,BANKNIFTY,,2026-02-24,2026-02-24,64000.00,CE,BANKNIFTY26FEB64000CE,0.00,0.00,0.00,554.60,0.00,554.60,59752.70,484.75,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60429,,BANKNIFTY,,2026-02-24,2026-02-24,64400.00,CE,BANKNIFTY26FEB64400CE,0.00,0.00,0.00,484.55,0.00,484.55,59752.70,411.45,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,57754,,BANKNIFTY,,2026-06-30,2026-06-30,60000.00,CE,BANKNIFTY26JUN60000CE,0.00,0.00,0.00,4845.05,0.00,4845.05,59752.70,3433.25,0,0,0,0.00,0,F1,35,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,52272,,BANKNIFTY,,2026-09-29,2026-09-29,48000.00,CE,BANKNIFTY26SEP48000CE,0.00,0.00,0.00,10080.05,0.00,10080.05,59752.70,14043.35,0,0,0,0.00,0,F1,35,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,52388,,BANKNIFTY,,2026-09-29,2026-09-29,61500.00,CE,BANKNIFTY26SEP61500CE,0.00,0.00,0.00,2502.65,0.00,2502.65,59752.70,3561.20,0,0,0,0.00,0,F1,35,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60532,,BANKNIFTY,,2026-02-24,2026-02-24,66500.00,PE,BANKNIFTY26FEB66500PE,0.00,0.00,0.00,6903.80,0.00,6903.80,59752.70,5992.10,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60423,,BANKNIFTY,,2026-02-24,2026-02-24,64100.00,PE,BANKNIFTY26FEB64100PE,0.00,0.00,0.00,4850.15,0.00,4850.15,59752.70,3930.30,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60411,,BANKNIFTY,,2026-02-24,2026-02-24,63500.00,PE,BANKNIFTY26FEB63500PE,0.00,0.00,0.00,4376.40,0.00,4376.40,59752.70,3463.85,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60397,,BANKNIFTY,,2026-02-24,2026-02-24,63000.00,PE,BANKNIFTY26FEB63000PE,0.00,0.00,0.00,3998.65,0.00,3998.65,59752.70,3094.40,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60267,,BANKNIFTY,,2026-02-24,2026-02-24,60900.00,PE,BANKNIFTY26FEB60900PE,0.00,0.00,0.00,2577.10,0.00,2577.10,59752.70,1768.00,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60258,,BANKNIFTY,,2026-02-24,2026-02-24,60700.00,PE,BANKNIFTY26FEB60700PE,0.00,0.00,0.00,2458.40,0.00,2458.40,59752.70,1662.60,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60058,,BANKNIFTY,,2026-02-24,2026-02-24,57700.00,PE,BANKNIFTY26FEB57700PE,0.00,0.00,0.00,1059.05,0.00,1059.05,59752.70,537.35,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60056,,BANKNIFTY,,2026-02-24,2026-02-24,57600.00,PE,BANKNIFTY26FEB57600PE,0.00,0.00,0.00,1024.70,0.00,1024.70,59752.70,513.60,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60054,,BANKNIFTY,,2026-02-24,2026-02-24,57500.00,PE,BANKNIFTY26FEB57500PE,0.00,0.00,0.00,991.15,0.00,991.15,59752.70,490.65,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,60028,,BANKNIFTY,,2026-02-24,2026-02-24,56700.00,PE,BANKNIFTY26FEB56700PE,0.00,0.00,0.00,752.25,0.00,752.25,59752.70,333.65,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,59982,,BANKNIFTY,,2026-02-24,2026-02-24,55600.00,PE,BANKNIFTY26FEB55600PE,0.00,0.00,0.00,491.90,0.00,491.90,59752.70,184.65,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,59958,,BANKNIFTY,,2026-02-24,2026-02-24,54800.00,PE,BANKNIFTY26FEB54800PE,0.00,0.00,0.00,350.65,0.00,350.65,59752.70,114.40,0,0,0,0.00,0,F1,30,,,,,
2025-11-28,2025-11-28,FO,NSE,IDO,53188,,BANKNIFTY,,2026-01-27,2026-01-27,64400.00,PE,BANKNIFTY26JAN64400PE,0.00,0.00,0.00,5636.00,0.00,5636.00,59752.70,4243.15,0,0,0,0.00,0,F1,30,,,,,
