TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-07-14,2025-07-14,FO,NSE,IDO,57758,,BANKNIFTY,,2026-06-30,2026-06-30,61500.00,CE,BANKNIFTY26JUN61500CE,0.00,0.00,0.00,4189.30,0.00,4189.30,56765.35,3664.85,0,0,0,0.00,0,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,53780,,BANKNIFTY,,2025-07-31,2025-07-31,48600.00,PE,BANKNIFTY25JUL48600PE,6.55,6.55,4.25,4.60,4.70,5.60,56765.35,4.60,2975,-11375,537,913525781.00,197,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,66451,,BANKNIFTY,,2025-08-28,2025-08-28,51700.00,PE,BANKNIFTY25AUG51700PE,0.00,0.00,0.00,530.35,530.35,530.35,56765.35,102.30,70,0,0,0.00,0,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,66206,,BANKNIFTY,,2025-08-28,2025-08-28,50600.00,PE,BANKNIFTY25AUG50600PE,0.00,0.00,0.00,363.50,0.00,363.50,56765.35,46.40,0,0,0,0.00,0,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,66112,,BANKNIFTY,,2025-08-28,2025-08-28,48000.00,PE,BANKNIFTY25AUG48000PE,18.00,18.00,15.25,16.45,16.75,16.55,56765.35,16.45,7280,1015,74,124362803.25,36,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,54234,,BANKNIFTY,,2025-07-31,2025-07-31,62300.00,PE,BANKNIFTY25JUL62300PE,0.00,0.00,0.00,6511.00,0.00,6511.00,56765.35,5373.80,0,0,0,0.00,0,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,54212,,BANKNIFTY,,2025-07-31,2025-07-31,61300.00,PE,BANKNIFTY25JUL61300PE,0.00,0.00,0.00,5696.40,0.00,5696.40,56765.35,4398.60,0,0,0,0.00,0,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,54180,,BANKNIFTY,,2025-07-31,2025-07-31,60300.00,PE,BANKNIFTY25JUL60300PE,0.00,0.00,0.00,4924.90,0.00,4924.90,56765.35,3454.25,0,0,0,0.00,0,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,54172,,BANKNIFTY,,2025-07-31,2025-07-31,59900.00,PE,BANKNIFTY25JUL59900PE,0.00,0.00,0.00,2799.85,2799.85,2799.85,56765.35,3091.10,70,0,0,0.00,0,F1,35,,,,,
2025-07-14,2025-07-14,FO,NSE,IDO,54156,,BANKNIFTY,,2025-07-31,2025-07-31,59600.00,PE,BANKNIFTY25JUL59600PE,0.00,0.00,0.00,2953.85,2953.85,2953.85,56765.35,2826.20,140,0,0,0.00,0,F1,35,,,,,
